"","AGEP","RACAIAN","RACASN","RACBLK","RACSOR","RACWHT","ESR_label","SCHL_label","WAGP","YOEP","CITWP","years_to_nat"
"548",61,"0","1","0","0","0","Civilian employed, at work","Master's degree",74000,1981,1986,5
"549",54,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",37000,2003,2013,10
"550",75,"0","0","0","1","1","Not in labor force","1 or more years of college credit, no degree",0,1964,1978,14
"551",54,"0","0","0","0","1","Civilian employed, at work","12th grade - no diploma",24000,1987,2004,17
"552",51,"0","0","0","0","1","Unemployed","Grade 9",4000,1985,2017,32
"553",73,"0","0","0","0","1","Not in labor force","Bachelor's degree",0,1953,1958,5
"554",34,"0","1","0","0","0","Civilian employed, at work","Master's degree",65000,1986,2003,17
"555",73,"0","1","0","0","0","Not in labor force","Bachelor's degree",0,1963,1972,9
"556",42,"0","0","0","0","1","Civilian employed, at work","Bachelor's degree",0,2015,2018,3
"557",68,"0","0","0","0","1","Civilian employed, at work","12th grade - no diploma",18000,1970,1976,6
"558",51,"0","0","0","0","1","Not in labor force","Some college, but less than 1 year",0,1993,2008,15
"559",62,"0","1","0","0","0","Civilian employed, at work","Regular high school diploma",70000,1994,1999,5
"560",35,"0","1","0","0","0","Civilian employed, at work","Master's degree",40000,1990,2007,17
"561",43,"1","0","0","1","0","Not in labor force","Master's degree",0,1979,1996,17
"562",48,"0","0","0","0","1","Civilian employed, at work","Grade 10",0,1984,2014,30
"563",45,"0","1","0","0","0","Civilian employed, at work","Regular high school diploma",39000,1989,1995,6
"564",65,"0","1","0","0","0","Not in labor force","Bachelor's degree",0,1981,1996,15
"565",59,"0","0","0","0","1","Civilian employed, at work","Bachelor's degree",72000,1981,1990,9
"566",56,"0","0","0","1","0","Civilian employed, at work","Grade 6",42000,1982,1997,15
"567",56,"0","0","0","1","1","Civilian employed, at work","Grade 6",113000,1983,2009,26
"568",38,"0","0","0","1","0","Civilian employed, at work","No schooling completed",38400,1980,2008,28
"569",79,"0","0","0","0","1","Not in labor force","Bachelor's degree",0,1956,1961,5
"570",43,"0","1","0","0","0","Civilian employed, at work","1 or more years of college credit, no degree",44000,1975,1997,22
"571",68,"0","1","0","0","0","Civilian employed, at work","Grade 10",0,1990,1996,6
"572",49,"0","0","0","0","1","Civilian employed, at work","1 or more years of college credit, no degree",11000,1975,1998,23
"573",48,"0","1","0","0","0","Civilian employed, with a job but not at work","1 or more years of college credit, no degree",55000,2000,2012,12
"574",66,"0","1","0","0","0","Not in labor force","Bachelor's degree",0,1970,2001,31
